City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,torreblanca,40.2203,0.1965,17.02,54,1,1.72,ES,1712875485
280,calugareni,44.1717,25.9956,20.14,67,2,2.47,RO,1712875485
281,arauco,-37.2463,-73.3175,10.65,91,44,0.54,CL,1712875485
282,quang ngai,15.1167,108.8,22.9,84,100,2.51,VN,1712875485
283,ocean shores,46.9737,-124.1563,12.99,85,100,2.68,US,1712875302
284,bel ombre,-4.6167,55.4167,29.91,62,0,3.09,SC,1712875485
285,chernyshevskiy,63.0128,112.4714,-25.73,97,20,1.2,RU,1712875486
286,amahai,-3.3333,128.9167,26.88,79,93,1.51,ID,1712875486
287,bima,-8.4667,118.7167,24.74,93,94,1.13,ID,1712875486
288,kingaroy,-26.5333,151.8333,19.27,69,1,3.92,AU,1712875486
289,savoy,45.5,6.4167,5.4,32,86,1.76,FR,1712875486
290,takanabe,32.1333,131.5,16.94,91,100,2.4,JP,1712875486
291,moyo,3.6609,31.7247,21.11,83,73,1.51,UG,1712875486
292,coquimbo,-29.9533,-71.3436,13.85,94,100,2.57,CL,1712875486
293,ola,59.5833,151.2833,-3.81,81,38,0.57,RU,1712875486
294,bonab,37.3404,46.0561,8.6,75,98,2.65,IR,1712875486
295,peace river,56.2501,-117.286,13.17,28,75,3.6,CA,1712875487
296,kingston,17.997,-76.7936,30.53,70,20,10.8,JM,1712875258
297,bryne,58.7354,5.6477,7.19,92,0,4.63,NO,1712875487
298,mount pearl,47.5166,-52.7813,2.81,77,0,5.14,CA,1712875487
299,mariehamn,60.0973,19.9348,6.01,93,0,2.06,AX,1712875487
300,acarau,-2.8856,-40.12,26.65,86,98,3.42,BR,1712875449
301,lincheng,19.9078,109.6858,24.17,87,3,2.29,CN,1712875487
302,anastacio,-20.4836,-55.8069,25.3,87,98,0.78,BR,1712875487
303,tshikapa,-6.4167,20.8,23.39,89,100,0.75,CD,1712875488
304,tabou,4.423,-7.3528,26.63,81,100,2.01,CI,1712875488
305,phang nga,8.4509,98.5298,25.02,83,39,1.92,TH,1712875488
306,kalmunai,7.4167,81.8167,27.31,82,93,2.01,LK,1712875488
307,ottawa,45.4112,-75.6981,14.16,95,100,6.69,CA,1712875268
308,grove,51.6095,-1.4219,13.25,93,75,2.57,GB,1712875488
309,holly springs,35.6513,-78.8336,22.12,82,100,5.36,US,1712875407
310,sao felix do xingu,-6.6447,-51.995,24.09,95,85,0.47,BR,1712875488
311,uaua,-9.8414,-39.4817,26.11,74,86,4.19,BR,1712875488
312,kavaratti,10.5669,72.642,29.0,67,1,1.29,IN,1712875489
313,ghat,24.9647,10.1728,25.0,18,1,6.24,LY,1712875489
314,new plymouth,-39.0667,174.0833,18.23,95,79,6.17,NZ,1712875489
315,qamdo,31.1667,97.2333,-2.59,59,28,1.88,CN,1712875489
316,bowen,-20.0167,148.2333,23.63,70,1,4.78,AU,1712875489
317,dudinka,69.4058,86.1778,-29.62,100,85,3.58,RU,1712875489
318,menongue,-14.6585,17.691,19.04,91,99,2.07,AO,1712875489
319,zaragoza,41.6561,-0.8773,16.68,49,0,2.57,ES,1712875489
320,ndele,8.4109,20.6473,28.6,17,59,1.96,CF,1712875489
321,abra pampa,-22.7205,-65.697,16.84,48,99,8.17,AR,1712875489
322,bayramaly,37.6185,62.1671,16.86,29,76,4.78,TM,1712875490
323,xilin hot,43.9667,116.0333,11.36,41,100,2.36,CN,1712875490
324,minas de marcona,-15.2119,-75.1103,17.9,76,6,6.93,PE,1712875490
325,al bahah,20.0129,41.4677,16.68,78,8,2.37,SA,1712875490
326,nikolayevsk-on-amure,53.1406,140.73,3.83,82,82,1.58,RU,1712875490
327,juan griego,11.0817,-63.9655,26.64,82,2,6.48,VE,1712875490
328,novyy urgal,51.0736,132.5642,2.16,68,38,1.83,RU,1712875490
329,nuku'alofa,-21.1333,-175.2,29.19,79,40,3.09,TO,1712875491
330,brezina,33.0989,1.2608,11.04,43,0,5.31,DZ,1712875491
331,tolanaro,-25.0319,46.9987,23.04,88,40,2.06,MG,1712875491
332,la gi,10.6667,107.7833,24.87,85,71,4.7,VN,1712875491
333,tamanrasset,22.785,5.5228,23.95,8,0,6.17,DZ,1712875491
334,lethem,3.3803,-59.7968,31.34,50,90,5.28,GY,1712875491
335,stornoway,58.2093,-6.3865,11.98,89,100,9.26,GB,1712875381
336,hermanus,-34.4187,19.2345,13.78,73,28,7.43,ZA,1712875475
337,petropavlovka,50.6114,105.3196,4.72,85,82,0.85,RU,1712875491
338,uturoa,-16.7333,-151.4333,29.32,73,46,7.9,PF,1712875491
339,kamyzyak,46.11,48.0736,11.99,87,0,2.0,RU,1712875491
340,pastos bons,-6.6017,-44.0767,24.25,90,80,1.78,BR,1712875492
341,port victoria,0.0939,33.9756,21.67,82,45,3.07,KE,1712875492
342,peterborough,52.5736,-0.2478,16.42,82,100,8.23,GB,1712875492
343,aasiaat,68.7098,-52.8699,-6.76,93,99,2.16,GL,1712875492
344,sos'va,59.1766,61.8558,3.36,74,100,1.79,RU,1712875492
345,vila franca do campo,37.7167,-25.4333,18.27,99,36,1.66,PT,1712875492
346,itaituba,-4.2761,-55.9836,25.21,97,99,0.49,BR,1712875347
347,maua,-23.6678,-46.4614,21.67,93,90,3.56,BR,1712875452
348,maintirano,-18.0667,44.0167,26.9,82,100,5.52,MG,1712875493
349,milford,41.2223,-73.0565,15.58,83,100,6.17,US,1712875212
350,cerignola,41.264,15.9005,14.57,77,93,5.29,IT,1712875493
351,queenstown,-31.8976,26.8753,4.48,86,0,0.7,ZA,1712875493
352,nadi,-17.8,177.4167,30.0,70,20,2.57,FJ,1712875493
353,port lincoln,-34.7333,135.8667,14.93,61,100,3.67,AU,1712875256
354,floresville,29.1336,-98.1561,29.53,27,0,3.29,US,1712875209
355,grass valley,39.2191,-121.0611,25.09,38,0,3.09,US,1712875493
356,kodinsk,58.6881,99.1844,-5.31,96,100,0.84,RU,1712875493
357,taltal,-25.4,-70.4833,18.68,78,60,1.91,CL,1712875493
358,vung tau,10.346,107.0843,27.8,79,89,10.09,VN,1712875494
359,yekaterinovka,52.0508,44.3451,16.09,71,100,3.32,RU,1712875494
360,berdigestyakh,62.0989,126.6992,-13.11,92,100,4.18,RU,1712875494
361,hami,42.8,93.45,13.33,37,2,3.15,CN,1712875494
362,visakhapatnam,17.69,83.2093,26.82,63,35,1.13,IN,1712875494
